zip,member,piece_name,block,record_idx,record_kind,n_points,point_idx,a,b,c,e,x,y,in_real,nearest_perim_units,nearest_perim_in,nearest_perim_mm,nearest_dxf14_in,block_check_line_table
CAP-C00-BASE\CAP-C00-BASE.zip,a4287.tmp,CAP-C00-BASE,0,5,2,2,0,-1,1,0,0,29581,39343,1,29580.0,2.9580,75.13,,1
CAP-C00-BASE\CAP-C00-BASE.zip,a4287.tmp,CAP-C00-BASE,0,5,2,2,1,-1,1,0,0,88742,39343,1,29581.0,2.9581,75.14,,1
CAP-C01-REEXPORT\CAP-C00-BASE.zip,aF6A.tmp,CAP-C00-BASE,0,5,2,2,0,-1,1,0,0,29581,39343,1,29580.0,2.9580,75.13,,1
CAP-C01-REEXPORT\CAP-C00-BASE.zip,aF6A.tmp,CAP-C00-BASE,0,5,2,2,1,-1,1,0,0,88742,39343,1,29581.0,2.9581,75.14,,1
CAP-C02-SAVEAS-NOEDIT\CAP-C02-SAVEAS-NOEDIT.zip,aDDDE.tmp,CAP-C02-SAVEAS-NOEDIT,0,5,2,2,0,-1,1,0,0,29581,39343,1,29580.0,2.9580,75.13,,1
CAP-C02-SAVEAS-NOEDIT\CAP-C02-SAVEAS-NOEDIT.zip,aDDDE.tmp,CAP-C02-SAVEAS-NOEDIT,0,5,2,2,1,-1,1,0,0,88742,39343,1,29581.0,2.9581,75.14,,1
CAP-C10-PENT\CAP-C10-PENT.ZIP,a824E.tmp,CAP-C10-PENT,0,6,2,2,0,-1,1,0,0,29474,39592,1,29473.0,2.9473,74.86,,1
CAP-C10-PENT\CAP-C10-PENT.ZIP,a824E.tmp,CAP-C10-PENT,0,6,2,2,1,-1,1,0,0,88421,39592,1,29473.0,2.9473,74.86,,1
CAP-C10-PENT\CAP-C10-PENT.ZIP,a824E.tmp,CAP-C10-PENT,1,5,2,2,0,-1,1,0,0,-610498,223435,1,29473.0,2.9473,74.86,,1
CAP-C10-PENT\CAP-C10-PENT.ZIP,a824E.tmp,CAP-C10-PENT,1,5,2,2,1,-1,1,0,0,-551551,223435,1,29473.0,2.9473,74.86,,1
CAP-C11-HEX\CAP-C11-HEX.ZIP,aB9A8.tmp,CAP-C11-HEX,0,7,2,2,0,-1,1,0,0,541314,202550,1,46189.0,4.6189,117.32,,1
CAP-C11-HEX\CAP-C11-HEX.ZIP,aB9A8.tmp,CAP-C11-HEX,0,7,2,2,1,-1,1,0,0,633693,202550,1,46190.0,4.6190,117.32,,1
CAP-C11-HEX\CAP-C11-HEX.ZIP,aB9A8.tmp,CAP-C11-HEX,1,5,2,2,0,-1,1,0,0,541314,202550,1,46189.0,4.6189,117.32,,1
CAP-C11-HEX\CAP-C11-HEX.ZIP,aB9A8.tmp,CAP-C11-HEX,1,5,2,2,1,-1,1,0,0,633693,202550,1,46190.0,4.6190,117.32,,1
CAP-C12-TWOINTLINES\CAP-C12-TWOINTLINES.ZIP,a3447.tmp,CAP-C12-TWOINTLINES,0,5,2,2,0,-1,1,0,0,68374,116479,1,8044.0,0.8044,20.43,,1
CAP-C12-TWOINTLINES\CAP-C12-TWOINTLINES.ZIP,a3447.tmp,CAP-C12-TWOINTLINES,0,5,2,2,1,-1,1,0,0,84462,116479,1,8044.0,0.8044,20.43,,1
CAP-C12-TWOINTLINES\CAP-C12-TWOINTLINES.ZIP,a3447.tmp,CAP-C12-TWOINTLINES,0,6,2,2,0,-1,1,0,1,65612,125113,1,3432.0,0.3432,8.72,,1
CAP-C12-TWOINTLINES\CAP-C12-TWOINTLINES.ZIP,a3447.tmp,CAP-C12-TWOINTLINES,0,6,2,2,1,-1,1,0,1,77947,125113,1,3432.0,0.3432,8.72,,1
CAP-C12-TWOINTLINES\CAP-C12-TWOINTLINES.ZIP,a3447.tmp,CAP-C12-TWOINTLINES,1,5,2,2,0,-1,1,0,0,68374,116479,1,8044.0,0.8044,20.43,,1
CAP-C12-TWOINTLINES\CAP-C12-TWOINTLINES.ZIP,a3447.tmp,CAP-C12-TWOINTLINES,1,5,2,2,1,-1,1,0,0,84462,116479,1,8044.0,0.8044,20.43,,1
CAP-C13-LONGNAME\CAP-C13-LONGNAME-1234567890ABC.ZIP,a174F.tmp,CAP-C13-LONGNAME-1234567890ABC,0,5,2,2,0,-1,1,0,0,66310,171992,1,2467.0,0.2467,6.27,,1
CAP-C13-LONGNAME\CAP-C13-LONGNAME-1234567890ABC.ZIP,a174F.tmp,CAP-C13-LONGNAME-1234567890ABC,0,5,2,2,1,-1,1,0,0,71244,171992,1,2467.0,0.2467,6.27,,1
CAP-C14-ANNOT\CAP-C14-ANNOT.ZIP,a1AC1.tmp,CAP-C14-ANNOT,0,5,2,2,0,-1,1,0,0,70751,165060,1,9842.0,0.9842,25.00,,1
CAP-C14-ANNOT\CAP-C14-ANNOT.ZIP,a1AC1.tmp,CAP-C14-ANNOT,0,5,2,2,1,-1,1,0,0,90436,165060,1,9843.0,0.9843,25.00,,1
CAP-C20-RULE-DISTINCT\CAP-C20-RULE-DISTINCT.zip,a237D.tmp,CAP-C20-RULE-DISTINCT,0,5,2,2,0,-1,1,0,0,29581,39343,1,29580.0,2.9580,75.13,,1
CAP-C20-RULE-DISTINCT\CAP-C20-RULE-DISTINCT.zip,a237D.tmp,CAP-C20-RULE-DISTINCT,0,5,2,2,1,-1,1,0,0,88742,39343,1,29581.0,2.9581,75.14,,1
CAP-C20-RULE-DISTINCT\CAP-C20-RULE-DISTINCT.zip,a237D.tmp,CAP-C20-RULE-DISTINCT,1,5,2,2,0,-1,1,0,0,-358372,60191,1,29580.0,2.9580,75.13,,1
CAP-C20-RULE-DISTINCT\CAP-C20-RULE-DISTINCT.zip,a237D.tmp,CAP-C20-RULE-DISTINCT,1,5,2,2,1,-1,1,0,0,-299211,60191,1,29581.0,2.9581,75.14,,1
CAP-C21-RULE-TWO\CAP-C21-RULE-TWO.zip,aEB73.tmp,CAP-C21-RULE-TWO,0,5,2,2,0,-1,1,0,0,29581,39343,1,29580.0,2.9580,75.13,,1
CAP-C21-RULE-TWO\CAP-C21-RULE-TWO.zip,aEB73.tmp,CAP-C21-RULE-TWO,0,5,2,2,1,-1,1,0,0,88742,39343,1,29581.0,2.9581,75.14,,1
CAP-C21-RULE-TWO\CAP-C21-RULE-TWO.zip,aEB73.tmp,CAP-C21-RULE-TWO,1,5,2,2,0,-1,1,0,0,-358372,60191,1,29580.0,2.9580,75.13,,1
CAP-C21-RULE-TWO\CAP-C21-RULE-TWO.zip,aEB73.tmp,CAP-C21-RULE-TWO,1,5,2,2,1,-1,1,0,0,-299211,60191,1,29581.0,2.9581,75.14,,1
CAP-C22-RULE-NONE\CAP-C22-RULE-NONE.zip,a73D9.tmp,CAP-C22-RULE-NONE,0,5,2,2,0,-1,1,0,0,29581,39343,1,29580.0,2.9580,75.13,,1
CAP-C22-RULE-NONE\CAP-C22-RULE-NONE.zip,a73D9.tmp,CAP-C22-RULE-NONE,0,5,2,2,1,-1,1,0,0,88742,39343,1,29581.0,2.9581,75.14,,1
CAP-C22-RULE-NONE\CAP-C22-RULE-NONE.zip,a73D9.tmp,CAP-C22-RULE-NONE,1,5,2,2,0,-1,1,0,0,29581,39343,1,29580.0,2.9580,75.13,,1
CAP-C22-RULE-NONE\CAP-C22-RULE-NONE.zip,a73D9.tmp,CAP-C22-RULE-NONE,1,5,2,2,1,-1,1,0,0,88742,39343,1,29581.0,2.9581,75.14,,1
CAP-C30-SEAM-UNEVEN\CAP-C30-SEAM-UNEVEN.zip,a7F2E.tmp,CAP-C30-SEAM-UNEVEN,0,5,2,2,0,-1,1,0,0,33448,39408,1,29510.0,2.9510,74.96,2.9510,0
CAP-C30-SEAM-UNEVEN\CAP-C30-SEAM-UNEVEN.zip,a7F2E.tmp,CAP-C30-SEAM-UNEVEN,0,5,2,2,1,-1,1,0,0,92467,39408,1,29510.0,2.9510,74.96,2.9510,0
CAP-C30-SEAM-UNEVEN\CAP-C30-SEAM-UNEVEN.zip,a7F2E.tmp,CAP-C30-SEAM-UNEVEN,0,6,2,3,0,1,1,0,1,3938,1,1,0.0,0.0000,0.00,0.0000,0
CAP-C30-SEAM-UNEVEN\CAP-C30-SEAM-UNEVEN.zip,a7F2E.tmp,CAP-C30-SEAM-UNEVEN,0,6,2,3,1,2,1,0,1,4,78749,0,3934.0,0.3934,9.99,0.3934,0
CAP-C30-SEAM-UNEVEN\CAP-C30-SEAM-UNEVEN.zip,a7F2E.tmp,CAP-C30-SEAM-UNEVEN,0,6,2,3,2,2,1,0,1,1,78815,0,3937.0,0.3937,10.00,0.3937,0
